,会社名,対象,初年度年収
25,株式会社エイ・エス・シー | ★設立30年目の安定企業★ 自社内開発あり 残業月20H／年休125日,【未経験者】⇒27歳までの方＊人物重視の採用　【経験者】⇒何らかのシステム開発orインフラ構築～運用経験をお持ちの方,
26,anynext株式会社 | 【フレックスタイム制！オシャレなオフィス◎】,【女性が多数活躍中！将来のマネージャー候補】◇大卒以上◇女性向け商品の企画開発経験またはMD経験がある方★成果次第で数百万単位のインセン支給！,432万円～716万円
27,ワークスアイディ株式会社 | 前給を最大限考慮/自社内開発アリ/土日休み/マネジャーへの道も,【エンジニアの女性比率4割】◎ITエンジニアとしての実務経験（1年以上）をお持ちの方を募集（開発・インフラ・データ解析などジャンル不問）,300万円～800万円
28,株式会社マイナビ | 就職や転職などのあらゆる人生の岐路を支えるサービスを提供,＜未経験・第二新卒歓迎＞◆1年以上の社会人経験をお持ちの方 ※人物重視の採用です！◆要普通免許（東京以外）◆基本的なPCスキル,380万円～570万円
29,株式会社フルタイムシステム | 土日祝休み/原則定時退社/宅配ボックス業界35期連続シェアトップ,【学歴不問・未経験／第二新卒歓迎！】●基本的なPC操作スキルがある方　●電話やメールでのお客様対応の経験がある方,250万円～400万円
30,株式会社スタジオワンオアエイト | ★フレックスタイム制／現在、完全リモートワーク中！★,《※経験者限定※ 経験者を好待遇で歓迎！》◎学歴不問 ◎ゲーム業界での下記いずれかの経験をお持ちの方,300万円～600万円
31,株式会社KAMING | #平均通勤時間29分 #残業月13.7H #完全週休二日 # 年休120日以上,【Web面接1回／福岡拠点もOPEN！】◆未経験・第二新卒歓迎◆学歴不問 ★「案件や働き方を選びたい方」「フェーズや年収を上げたい方」大歓迎！,420万円～840万円
32,AJ・Flat株式会社 | 入社後即、有給5日付与/残業15h以内/在宅・テレワーク導入率73％,◆年収アップを本気で考えている方◆開発経験をお持ちの方歓迎※経験年数・経験領域・使用言語不問★経験3年以上の方は、優遇！,
33,アクロ株式会社 | ◆やりたい仕事を選べる ◆収入は平均1.5～2倍に ◆長期休暇も可,■年齢不問　■学歴不問　何かしらのプログラム経験またはネットワーク・サーバの経験ある方,540万円～1000万円
34,株式会社Be-range | 「やりたいこと」を実現する会社★製品開発・リリースの実例あり,【経験の浅い方も大歓迎／20～30代が活躍中】◆何らかのシステム開発経験をお持ちの方（言語不問）　◆フリーランスとして自由に活躍したい方,
35,株式会社キャッツ | ◆創業46年◆インセンティブは毎月ほぼ全員獲得◆月初に3連休,★未経験大歓迎★スキル・知識の身につく研修充実★◎高卒以上◎要普免（AT限定可）※人と接することが好きな方なら活躍していただけます！,360万円～600万円
36,株式会社ポケットモバイル | オンオフつけた最高の働き方OK★平均年齢27歳★同期も多数活躍中,【32歳までの方全員面接！学歴・経験・転職回数一切不問】★フリーターや第二新卒、社会人デビューも大歓迎★土日休み★入社2ヶ月目の平均月収30万円,350万円～500万円
37,株式会社SNSコーチ | 【未経験大歓迎！】◆完全週休2日◆残業はしない社風◆年休120日,"《完全週休2日制》【未経験・第二新卒歓迎・フリーター歓迎】学歴不問！ 9,10,11月入社可能!!!",360万円～500万円
38,株式会社スタジオワンオアエイト | ★フレックスタイム制／現在、完全リモートワーク中！★,《※経験者限定※ 経験者を好待遇で歓迎！》◎学歴不問 ◎ゲーム業界での下記いずれかの経験をお持ちの方,300万円～600万円
39,株式会社野村総合研究所 | （NRI） 東証一部上場★海外研修など豊富な研修制度あり,●大卒以上●システム開発やコンサルティングの経験のある方 ★学習意欲・成長意欲が豊かで、札幌にこだわって働きたい方 ★30代活躍中,
40,株式会社アクトプロブレインズ | 経験により月給60万以上可*リモートワーク推奨*残業月10ｈ程度,【スキルに見合った待遇でお迎えします！】◎インフラの設計・構築経験3年以上　★メリハリ勤務⇒土日祝休み・年間休日120日・柔軟なフレックス勤務★,
41,ALH株式会社 | 【横浜オフィス】異業種出身が9割！人で勝負するエンジニアへ！,【未経験者大歓迎！「人」・「意欲」重視の採用です】 ■高卒以上■29歳までの方(※),278万円～400万円
42,株式会社野村総合研究所 | （NRI）東証一部上場★海外研修など豊富な研修制度あり,【経験の浅い方・第二新卒もOK】◎大卒以上 ★大規模システム開発の経験や、AI・IoT・クラウド・サーバレスに関する経験・知識をお持ちの方は大歓迎！,
43,株式会社夢テクノロジー | 新しいチャレンジ応援！東証一部上場グループ／リモートワーク可,【80％が未経験スタート！同期約30人と一緒に学びます！】長くキャリアを築きたい方※IT業界の経験は不問です★自己成長したい方歓迎！◆高卒以上◆,250万円～400万円
44,デロイト トーマツ コンサルティング合同会社,経営コンサルタントとしての実務経験（2年以上）、または担当インダストリーの事業会社における実務経験（3年以上）をお持ちの方,500万円～1000万円
45,株式会社マイナビワークス | 【マイナビキャリレーション】#ネイル可#賞与年2回#リモートあり,<未経験・第二新卒歓迎>◆32歳以下の方 ★スキルを身に付けたい! 私の適職は?希望や疑問をうかがいます♪ ★オフィスワーク経験がある方は活かせます!,300万円～400万円
46,株式会社コンフィデンス | 【2021年6月 東証マザーズ上場│ゲーム特化の事業で急成長中！】,◆ゲーム業界経験者の方は面接保証　◆ゲーム、Web・モバイルに関連した業務経験をお持ちの方歓迎！,300万円～700万円
47,パーソルワークスデザイン株式会社 | 【 宮崎アウトソーシングセンター限定募集】,【年齢不問 × 性別不問 × 経験不問 】◆安心の環境下でなが～く働きませんか？ ◆自分の得意分野が活かせる！ ◆語学スキルを活かしたい方も是非！,231万円～365万円
48,株式会社セラク | 大阪府緊急雇用対策に賛同 ◇東証一部上場◇毎年120％成長中！,【第二新卒歓迎◆業界経験・IT知識不問】★未経験入社が9割★カスタマーサクセスにチャレンジしたい方歓迎！★営業未経験者も歓迎★平均年齢29.9歳,350万円～600万円
49,デロイト トーマツ コンサルティング合同会社,コンサルティングファーム、SIer、事業会社のIT部門等で、ERPの導入/IT戦略立案/オープン系システム開発/情報システム企画などの経験をされた方,600万円～1000万円
