,会社名,対象,初年度年収
0,株式会社エージェントゲート | 大手プライム多数/前職以上の給与最大限保証/リモート勤務有,＊技術志向・上流志向いずれも歓迎＊【残業月平均5～10h！】◎開発経験3年以上（言語不問）★土日祝休み/年休130日/有給取得100％！,264万円～600万円
1,株式会社クレディセゾン | 【東証一部上場】テレワーク/フルフレックス/賞与年平均6.5ヶ月,システム開発/アプリケーション開発におけるプログラミングの実務経験(3年以上)⇒サーバサイド/Webフロントエンド/モバイルアプリ/運用・開発ツール等,600万円～1000万円
2,DiDiフードジャパン株式会社 | フードデリバリーサービス『DiDiフード』の本格展開スタート！,◆営業経験をお持ちの方（年数不問） ◆新規チャネル開拓、フードビジネスの経験が活かせる ◆フードビジネスや事業拡大に強いパッションを持てる方,400万円～700万円
3,DiDiフードジャパン株式会社 | フードデリバリーサービス『DiDiフード』の本格展開スタート！,【未経験・第二新卒歓迎！】☆営業や新規チャネル開拓、フードビジネスの経験が活かせます！◆フードビジネスや事業拡大に強いパッションを持てる方,400万円～700万円
4,"コクー株式会社 | 《""EXCEL女子事業""を展開！》◆年休124日以上 ◆副業OK",.+*20代～40代女性が活躍中／未経験歓迎*+. 学歴不問！意欲＆人柄重視の採用です！☆産休育休実績多数 ☆女性がイキイキと働き、活躍中の会社です！,276万円～400万円
5,株式会社リクルートスタッフィング | ★大手＆有名企業等で理想の働き方を！在宅ワークも実施中,【高卒以上】★*. 20代活躍中！産休・育休取得率&復職率100% .*「ありがとう」の言葉がやりがいに繋がる方にはピッタリのお仕事♪《ネイルもOK★》,250万円～350万円
6,株式会社リクルートスタッフィング | 産休・育休取得率&復職率100% ◆土日祝休み♪在宅ワークも実施中,<第二新卒・既卒・未経験歓迎！>◆3日間の配属前研修あり☆頑張りがしっかり評価されるため、モチベーションもUP！あなたに合った職場で働ける♪,250万円～350万円
7,住友生命保険相互会社 | 東京北支社＊年休120日以上＊充実の育児・介護両立支援制度あり,未経験者・第二新卒歓迎☆ブランクのある方、子育て中の方も歓迎◆高校卒業程度の学力を有すること◎事務、専業主婦等からキャリアチェンジした先輩も,
8,KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,【基本PCスキルがある方】育成枠としての採用＝現時点で高いスキルがない方もOK　★業界未経験・第二新卒OK★30代活躍中★36協定遵守★残業月30h以下,450万円～650万円
9,クオリティソフト株式会社 | 月残業20H程度／転勤ほぼ無し／リモート可（水天宮のみ）,■何らかのシステム開発経験がある方 ■サーバー設計・構築・運用保守の経験がある方,400万円～700万円
10,株式会社リクルートスタッフィング | キャリアウィンク★有名＆安定企業で働ける♪在宅ワークも実施中,★*. 20代活躍中！産休・育休取得率&復職率100% .*《第二新卒・未経験歓迎》「ありがとう」の言葉がやりがいに繋がる方にはピッタリのお仕事♪,250万円～350万円
11,大東建託株式会社 | ＜入社祝金20万円支給※＞中途未経験1年目で年収800万の先輩も！,＜ 未経験歓迎！要普免／高卒以上 ＞■49歳未経験入社の方活躍中！新卒も幅広い年代の方が活躍中！稼ぎたい！など何でも良いので目標がある方歓迎！,350万円～560万円
12,株式会社VSN | 住宅手当など福利厚生充実◆残業代満額支給◆700名の女性活躍中,システム／アプリケーション開発の実務経験をお持ちの方（目安として3年以上）,550万円～800万円
13,株式会社VSN | ◆残業平均17h◆副業可◆残業代満額支給◆福利厚生／手当充実,ネットワーク・サーバに関する知識がある方（実務経験1年程度が目安）,350万円～800万円
14,株式会社VSN | 福利厚生充実◆残業平均15.8h◆残業代全額支給◆年間休日124日,【ＰＭ未経験者もＯＫ！】◆IT業界における上流工程（要件定義）の経験がある方 ※3年以上　◆プリセールスからプロジェクト管理までの経験がある方,700万円～1000万円
15,"株式会社サイバーエージェント | CyberAgent, Inc.　年間休日124日/勤続インセンティブ/月一面談",【応募条件】◆大卒以上 ◆詳細は求人原稿内をご確認ください！ ★「仕事に熱い人」「ビジネスに本気で取り組める人」を求めています！ ★20代活躍中,408万円～800万円
16,"株式会社串カツ田中 | ""100年後も生き残ると思う平成生まれの日本企業""にランクイン！",【未経験歓迎♪】応募資格：34歳以下※の方なら、学歴も、飲食経験も、知識も、社会人経験も一切問いません！★飲食業界での経験があれば活かせます！,350万円～450万円
17,ＪｏｋｅｒＰｉｅｃｅ株式会社 | 【大阪府緊急雇用対策に賛同】基本定時退社／リモートワークあり,【経験年数不問】●開発経験があり、何らかの言語がわかる方ならOK ●iOS、Androidアプリ、Webシステム、IoT関連などの開発経験者は歓迎,
18,株式会社CyberACE | サイバーエージェントグループ×設立4年目の新会社 ★未経験OK,【未経験者・第二新卒歓迎】◆知識ゼロからデジタルマーケティングのプロに成長できる！ ◎20代～30代前半の男女が活躍中 ◎WEB面接OK,380万円～600万円
19,株式会社誠勝 | 月給28万円～＋賞与年2回／土日祝休み＆年休120日／責任者候補,【今まで培ってきた経験や発想を活かし、入社2年半で責任者になった例も！】◆BtoBの営業経験(業界不問)★BPO/IT/人材業界の経験をお持ちの方は歓迎,330万円～450万円
20,株式会社ケアリッツ・アンド・パートナーズ | <ITと介護事業を手がける成長企業>毎年140%以上の増収★残業少,【平均年齢31.8歳＆男女活躍中】◆Java、PHP、C#、Apexでの開発経験、もしくはインフラ構築経験1年以上◎一社で安心してキャリアを確立したい方、歓迎,360万円～1020万円
21,ユニークビジョン株式会社 | 土日祝休みなどメリハリ◎＆毎日のスケジュールも自分次第♪,【柔軟な発想で、企画をカタチに！】応募条件：◆SNSマーケティングに興味　◆お客様への提案など最低限のコミュニケーション力　★土日祝休み,360万円～720万円
22,株式会社優誠 | 大阪府緊急雇用対策に賛同/皆勤・家族手当等あり/土日休み,【未経験・第二新卒OK／人物・意欲重視の採用】◆要普免（AT限定可）◆何か1つでもアピールできること・経験などがある方は、ぜひご応募ください！,300万円～400万円
23,株式会社ピー・エム・シー | 大手カーディーラーをはじめクライアントとの直取引で安定成長！,【 学歴不問／選べる勤務地 】第二新卒～ベテランエンジニアまで幅広くお迎えします ◆クライアントサイド／サーバーサイドの開発経験をお持ちの方,400万円～600万円
24,パーソルエクセルHRパートナーズ株式会社 | 残業無｜テレワーク有｜年休120日｜年収400万～可｜社員雇用前提,《一人じゃない“プロとの転職”！多くの事務経験者が納得の転職を実現》◎何らかの事務経験がある方(年数・業界不問)※総務事務/営業事務なんでもOK,350万円～450万円
